"id","audit","Q1_c","Q2_c","Q3_c","Q4_c","Q5_c","Q6_c","Q7_c","Q8_c","Q9_c","Q10_c","Q11_c","Q12_c","Q13_c","Q14_c","Q15_c","Q16_c","Q17_c","Q18_c","Q19_c","Q20_c","Q21_c","Q22_c","Q23_c","Q24_c","Q25_c","Q26_c","Q27_c","Q28_c","Q29_c","Q30_c","Q1_time","Q1_Click.Count","Q2_time","Q2_Click.Count","Q3_time","Q3_Click.Count","Q4_time","Q4_Click.Count","Q5_time","Q5_Click.Count","Q6_time","Q6_Click.Count","Q7_time","Q7_Click.Count","Q8.9_time","Q8.9_Click.Count","Q10_time","Q10_Click.Count","Q11_time","Q11_Click.Count","Q12.13_time","Q12.13_Click.Count","Q14_time","Q14_Click.Count","Q15_time","Q15_Click.Count","Q16_time","Q16_Click.Count","Q17_time","Q17_Click.Count","Q18_time","Q18_Click.Count","Q19_time","Q19_Click.Count","Q20_time","Q20_Click.Count","Q21_time","Q21_Click.Count","Q22_time","Q22_Click.Count","Q23_time","Q23_Click.Count","Q24_time","Q24_Click.Count","Q25_time","Q25_Click.Count","Q26_time","Q26_Click.Count","Q27_time","Q27_Click.Count","Q28_time","Q28_Click.Count","Q29_time","Q29_Click.Count","Q30_time","Q30_Click.Count"
1961,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,92.203,1,39.927,2,61.848,1,106.807,2,24.793,1,87.422,2,106.53,1,220.109,3,78.931,1,26.241,1,367.887,5,38.831,1,163.468,3,133.184,4,58.047,1,180.299,1,119.693,3,23.352,1,33.282,1,64.392,2,72.704,2,533.028,13,92.432,3,360.251,13,129.105,3,174.6,1,263.553,7,95.925,3
1884,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,196.107,4,39.311,1,79.446,1,423.874,22,76.209,1,68.085,6,286.482,1,91.143,9,51.393,1,71.063,1,662.206,24,37.394,3,173.625,10,85.282,6,70.012,3,232.865,1,21.701,1,168.738,1,146.706,1,83.141,11,259.189,6,159.532,6,123.659,3,383.391,19,72.032,1,47.435,2,164.683,5,28.815,1
1962,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,44.537,1,15.401,1,27.262,1,310.536,3,21.7,1,141.438,3,199.852,1,114.94,16,124.112,1,61.651,1,672.607,7,18.589,1,124.713,2,89.36,2,75.315,1,189.18,9,14.844,1,41.7,1,61.79,2,334.112,10,144.993,6,154.218,3,162.811,3,591.758,21,279.257,9,16.228,1,254.571,9,295.193,31
1467,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,412.799,3,95.038,2,118.519,1,338.893,4,50.049,1,246.02,6,21.831,1,121.745,4,52.224,3,205.799,4,974.436,7,139.405,4,134.591,2,64.375,1,44.515,3,224.453,1,47.273,3,56.509,5,21.418,1,225.711,9,245.568,2,241.152,1,157.567,3,156.463,5,137.169,4,81.014,2,164.036,7,135.716,4
1872,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,100.991,4,304.567,2,103.26,1,292.659,18,25.82,1,186.028,6,274.623,5,210.765,18,69.646,3,158.274,5,654.734,44,30.205,1,246.293,7,66.717,3,38.881,1,103.15,7,76.565,2,12.286,2,44.299,3,499.604,16,237.356,14,130.789,8,331.74,30,175.417,24,345.691,20,40.132,3,69.816,17,177.325,24
1599,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,53.454,1,92.196,1,123.479,1,211.384,4,66.901,1,177.15,2,34.494,1,325.249,3,147.135,1,99.353,1,401.142,8,53.011,1,309.708,5,25.692,1,54.273,1,193.225,1,108.482,2,44.637,2,227.924,1,320.332,2,225.797,3,344.397,1,193.444,1,411.565,5,347.924,3,157.346,2,274.392,1,124.73,1
1251,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,72.336,1,422.286,1,265.692,3,526.994,24,30.143,1,143.929,7,145.21,5,135.286,7,209.506,4,31.048,1,765.697,13,11.369,1,218.272,4,78.399,2,43.141,3,256.883,5,134.343,0,68.942,1,61.283,1,269.045,7,95.42,1,268.464,13,98.352,4,401.684,11,437.308,10,40.436,1,153.859,8,84.175,1
1270,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,62.755,1,55.016,3,134.028,6,115.163,1,125.773,3,444.989,5,99.705,4,300.097,5,310.864,3,181.823,4,364.669,6,97.564,4,315.089,8,41.199,3,90.791,1,125.494,7,151.531,2,43.529,1,146.713,9,80.919,3,154.757,6,341.771,2,722.017,8,136.37,2,217.514,4,245.251,3,308.916,18,104.605,4
1343,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,88.182,1,215.934,4,97.984,2,171.177,8,262.528,1,193.466,8,88.306,1,293.323,15,211.331,2,228.254,6,462.942,27,11.273,1,241.447,17,233.563,15,47.683,6,269.843,20,118.045,11,19.536,3,136.231,8,205.716,8,874.241,16,336.893,13,241.56,11,165.402,18,87.898,17,57.999,1,124.644,11,80.313,7
1756,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,91.547,1,37.15,1,28.145,1,140.706,3,34.922,1,312.498,4,43.944,1,249.047,10,210.629,7,36.658,1,662.063,21,29.014,2,589.357,17,192.341,4,196.588,3,400.038,30,113.844,4,50.919,3,87.371,3,513.786,33,435.81,6,591.265,37,98.314,5,236.924,18,51.548,3,81.877,3,90.046,10,29.45,1
