"Question","wrangling","coding","d.trees","sna","nlp","viz","n.nets","googleable","non.googleable","jitl","substantive"
"Q1_c",1,1,0,0,0,0,0,1,0,0,0
"Q2_c",0,1,0,0,0,0,0,0,1,0,0
"Q3_c",1,1,0,0,0,1,0,1,0,0,0
"Q4_c",1,1,0,0,0,1,0,0,1,0,0
"Q5_c",1,0,0,0,0,0,0,1,0,0,0
"Q6_c",0,1,0,0,0,0,0,0,1,0,0
"Q7_c",0,0,1,0,0,0,0,1,0,0,0
"Q8_c",0,1,1,0,0,0,0,1,0,0,0
"Q9_c",0,1,1,0,0,0,0,1,0,0,0
"Q10_c",0,0,1,0,0,0,0,1,0,0,0
"Q11_c",0,0,0,1,0,0,0,1,0,0,0
"Q12_c",0,1,0,1,0,0,0,1,0,0,0
"Q13_c",0,1,0,1,0,0,0,1,0,1,0
"Q14_c",0,0,0,1,0,0,0,0,1,0,0
"Q15_c",0,0,0,1,0,0,0,1,0,0,0
"Q16_c",0,1,0,1,0,0,0,1,0,0,0
"Q17_c",0,0,0,0,1,0,0,1,0,0,0
"Q18_c",0,0,0,0,1,0,0,1,0,0,0
"Q19_c",0,0,0,0,1,0,0,0,1,0,0
"Q20_c",0,1,0,0,1,0,0,1,0,0,0
"Q21_c",0,0,0,0,1,0,0,1,0,0,0
"Q22_c",0,0,0,0,1,0,0,1,0,0,0
"Q23_c",0,1,0,0,1,0,0,0,1,0,1
"Q24_c",0,0,0,0,1,0,0,0,1,0,1
"Q25_c",0,0,0,0,1,0,0,0,1,0,1
"Q26_c",0,1,0,0,0,1,0,0,1,0,0
"Q27_c",0,0,0,0,0,0,1,1,0,1,0
"Q28_c",0,0,0,0,0,0,1,1,0,0,1
"Q29_c",0,0,0,0,0,0,1,0,1,0,1
"Q30_c",0,0,0,0,0,0,0,0,1,0,0
